,'A2-A0CM-01A','A2-A0D0-01A','A2-A0D1-01A','A2-A0D2-01A','A2-A0EQ-01A','A2-A0EV-01A','A2-A0EX-01A','A2-A0EY-01A','A2-A0SW-01A','A2-A0SX-01A','A2-A0T1-01A','A2-A0T2-01A','A2-A0T3-01A','A2-A0T6-01A','A2-A0T7-01A','A2-A0YC-01A','A2-A0YD-01A','A2-A0YF-01A','A2-A0YG-01A','A2-A0YI-01A','A2-A0YL-01A','A7-A0CD-01A','A7-A0CE-01A','A7-A0CJ-01A','A7-A13F-01A','A8-A06N-01A','A8-A06Z-01A','A8-A076-01A','A8-A079-01A','A8-A09I-01A','AN-A04A-01A','AN-A0FK-01A','AN-A0FL-01A','AO-A03O-01A','AO-A0J6-01A','AO-A0J9-01A','AO-A0JE-01A','AO-A0JJ-01A','AO-A0JM-01A','AO-A126-01A','AO-A12B-01A','AO-A12D-01A','AO-A12E-01A','AR-A0TR-01A','AR-A0TT-01A','AR-A0TV-01A','AR-A0TX-01A','AR-A0TY-01A','AR-A0U4-01A','AR-A1AQ-01A','AR-A1AV-01A','AR-A1AW-01A','BH-A0AV-01A','BH-A0BV-01A','BH-A0BZ-01A','BH-A0C0-01A','BH-A0DD-01A','BH-A0DG-01A','BH-A0E0-01A','BH-A0E9-01A','BH-A18N-01A','BH-A18Q-01A','BH-A18R-01A','BH-A18U-01A','BH-A18V-01A','C8-A12L-01A','C8-A12P-01A','C8-A12Q-01A','C8-A12T-01A','C8-A12U-01A','C8-A12V-01A','C8-A12W-01A','C8-A12Z-01A','C8-A130-01A','C8-A131-01A','C8-A134-01A','C8-A135-01A','C8-A138-01A','D8-A13Y-01A','D8-A142-01A','E2-A10A-01A','E2-A150-01A','E2-A154-01A','E2-A159-01A','E2-A15A-01A'
Stroma_Matrix.csv_Std..Dev..Mean.Diff..to.neighbors..abs..Layer.1..0.,0.014940261,0.010452696,0.01157158,0.013447051,0.013191068,0.012908886,0.013187807,0.01393298,0.008073707,0.011331303,0.013205905,0.010917789,0.009853783,0.008001487,0.009447109,0.017946902,0.013778802,0.014106169,0.019483699,0.011449841,0.008378291,0.01032838,0.019013895,0.01032892,0.014274287,0.012380855,0.033924385,0.01181579,0.013022816,0.013912475,0.020284974,0.013762795,0.007672691,0.013812816,0.012809451,0.011154567,0.013070212,0.008973158,0.012860875,0.010530736,0.023749181,0.016563735,0.019052062,0.01223929,0.007502944,0.009359251,0.01112529,0.007768984,0.010367324,0.009529502,0.018418112,0.011644492,0.007487913,0.009522985,0.012276887,0.011001543,0.012780166,0.009612585,0.007154428,0.009697626,0.019011282,0.014713783,0.014565735,0.013380975,0.012878019,0.0170626,0.020149904,0.022428304,0.019634476,0.021749417,0.011431905,0.011320338,0.0186658,0.010236422,0.020652795,0.010414148,0.013300503,0.010290604,0.017279482,0.013502222,0.014693728,0.019073336,0.013015968,0.008618986,0.012926075
Stroma_Tissue.csv_Max.GLCM.Mean..quick.8.11..Layer.1..all.dir..,0.291996482,0.685446728,0.336224534,0.031282232,0,0.535701702,0,0.15182489,0.090461534,0.55555265,0.269327394,0.50977647,0.412606926,0,0.059263797,0,0,0.274188769,0,0.098758251,0,0.065320818,0.345093835,0.088597822,0.025067812,0.372417456,0,0.16734467,0.189897189,0.606101614,0.389375155,0.478121441,0.456650803,0.667541835,0.723150607,0.12931935,0.318043584,0.328385567,0.005813954,0.313986268,0.660388258,0.12861175,0.023407461,0.91351734,0.502480573,0.835881956,0.490755512,0.38832431,0.845137147,0.586383696,0.63914117,0.195508545,0.540758565,0.098425406,0.157701571,0.020475469,0.610457907,0.245126029,0.687684798,0.126423095,0.30430425,0.393048479,0.296233052,0.570070478,0.518229483,0.259690377,0,0.088617531,0.187960373,0,0.525133923,0,0,0.290962604,0,0.193010233,0.003472222,0.243581456,0.588612523,0.067309941,0,0.394558546,0.066233298,0.417440681,0.086193456
Stroma_Matrix.csv_Min.Max..pixel.value.Layer.1,0.311201921,0.250835783,0.292667854,0.321806715,0.264896652,0.255914133,0.340610229,0.28179386,0.297616408,0.293045672,0.309716413,0.27402413,0.292228194,0.330141072,0.322008598,0.308966193,0.308636688,0.308576129,0.294517174,0.312315242,0.268340277,0.253592987,0.321234614,0.322617824,0.304740724,0.328479078,0.293486273,0.257274806,0.283952353,0.31823127,0.306317192,0.320217346,0.290737177,0.293812411,0.299776162,0.321591424,0.279600791,0.266029891,0.280813042,0.345255623,0.351318631,0.312510851,0.326348714,0.275779256,0.347757954,0.243660614,0.345551866,0.326503515,0.254471229,0.285204005,0.285491355,0.336015244,0.296131234,0.269797343,0.30795539,0.26076538,0.298295084,0.332987314,0.270502783,0.391283075,0.282302798,0.317620639,0.288995883,0.327679166,0.327536442,0.314358561,0.321826113,0.308810775,0.301193294,0.33849239,0.277470814,0.306026284,0.306854025,0.32212818,0.334619472,0.269947341,0.375533196,0.294890656,0.284934955,0.28104839,0.329737279,0.285577376,0.375823615,0.282437737,0.316081992
Stroma_Tissue.csv_Sum.Min..pixel.value.Layer.2,0.051700233,0.060222983,0.086556787,0.047759043,0.062336419,0.052360394,0.051657815,0.074588124,0.070805166,0.075466827,0.062642181,0.103037475,0.115081441,0.091108007,0.121262767,0.084850736,0.038666908,0.098243274,0.066341555,0.079254039,0.048013286,0.074383837,0.036817153,0.069975868,0.070488791,0.316179471,0.056992471,0.060104299,0.060862922,0.107780319,0.068703369,0.058865673,0.046739214,0.07135869,0.074222634,0.05606948,0.090592497,0.055039342,0.082563273,0.082012198,0.055449997,0.049951519,0.036894339,0.044174528,0.080261671,0.113049347,0.064453598,0.094408457,0.078369971,0.044956596,0.046785108,0.056609413,0.088581598,0.076239765,0.07350921,0.044695408,0.096179749,0.079200169,0.048097739,0.06754705,0.293709437,0.065602827,0.061614157,0.083179065,0.041187218,0.059816138,0.072081479,0.071348332,0.068027612,0.050057884,0.04961459,0.057897848,0.075209697,0.09148073,0.075771328,0.066419557,0.079826276,0.115182716,0.108845615,0.061311629,0.078121904,0.105431958,0.087809634,0.083569694,0.053366435
Stroma_Dark.csv_Mean.Rel..area.of.Stroma_Nucleus..0.,0.223395403,0.328019318,0.347012297,0.280172276,0.316398353,0.377667331,0.408808444,0.359304571,0.276160692,0.196130009,0.34214803,0.39898382,0.356005841,0.415833592,0.433423574,0.403421808,0.446368119,0.303688241,0.398413061,0.435169956,0.400203169,0.364676972,0.15953174,0.31959468,0.400870706,0.383189748,0.488282471,0.335465252,0.245146359,0.398846881,0.369957906,0.276498303,0.470366026,0.394756738,0.172887848,0.288590874,0.377533615,0.306569996,0.287639123,0.410547659,0.234669387,0.37804749,0.374822915,0.277876845,0.363255137,0.263331853,0.339910799,0.400099046,0.272301977,0.367480005,0.277667879,0.147858908,0.346596691,0.375752713,0.37216819,0.229860276,0.287525381,0.35594065,0.360681806,0.548925026,0.39508099,NaN,0.268554744,0.344503746,0.341761589,0.387780763,0.434157266,0.351466534,0.381439897,0.249296236,0.340955723,0.359379963,0.506231151,0.40456145,0.332812335,NaN,0.445884548,0.396772859,0.257303327,0.338302118,0.131440794,0.444724081,0.395392941,0.276292895,0.373221113
Stroma_Matrix.csv_Mean.Existence.of.Epi_Nucleus..2.,0.355342023,0.271923637,0.347202137,0.405032134,0.359832827,0.41386465,0.356131663,0.388953452,0.327094606,0.357793091,0.321907195,0.366724364,0.319515255,0.386286465,0.348555374,0.309782813,0.376689828,0.373076912,0.361481775,0.371489592,0.277126686,0.402773952,0.413999483,0.331606234,0.377907747,0.281491167,0.393486147,0.327367527,0.448874387,0.384391862,0.366827041,0.346314793,0.306301742,0.333162849,0.405112841,0.380319826,0.340068042,0.376517486,0.343545041,0.253512225,0.368721582,0.307991216,0.33290866,0.339907457,0.349217948,0.410862768,0.358542202,0.37175365,0.399508714,0.311360403,0.418029548,0.358572426,0.293212601,0.328802929,0.355160536,0.31842741,0.31788132,0.317707879,0.341904121,0.31577146,0.366244535,0.345097704,0.399329134,0.322894751,0.348486597,0.325247176,0.319237164,0.372296519,0.337447196,0.386518148,0.309817464,0.357481793,0.264255866,0.352590352,0.38478469,0.293343888,0.332897074,0.348737429,0.402808634,0.318506244,0.427902028,0.306436848,0.355248433,0.309814191,0.357815611
Stroma_Matrix.csv_Min.Standard.deviation.Layer.2,0.285622768,0.350240026,0.266142195,0.310601934,0.256665207,0.287539753,0.346525963,0.360026662,0.336274697,0.297902548,0.276954388,0.315709169,0.357191277,0.324498772,0.299644058,0.330575885,0.261404101,0.390491039,0.293166689,0.289089758,0.294607628,0.265642539,0.327160233,0.270894748,0.33427602,0.327783913,0.262901328,0.299119639,0.261860351,0.285061005,0.291159686,0.312122837,0.333243688,0.321155377,0.300742723,0.291303504,0.351905341,0.351502644,0.350240043,0.355143939,0.374897464,0.326169735,0.275379062,0.295338101,0.330480835,0.327191108,0.333722181,0.313307417,0.291564661,0.383836628,0.292102207,0.324456111,0.293557403,0.30985601,0.332198627,0.284214304,0.305101215,0.346796234,0.364643083,0.322187498,0.247780948,0.258620047,0.403745402,0.299792569,0.341648905,0.337823701,0.312008979,0.290631748,0.316586006,0.286591658,0.346570193,0.254190093,0.263429865,0.281692165,0.293170256,0.300116592,0.271828979,0.284833976,0.314429145,0.308630896,0.284105953,0.287571718,0.320906448,0.34444107,0.310881467
Stroma_Matrix.csv_Max.Distance.to.StromaMatrix..Pxl.,0.185593328,0.234951828,0.219736615,0.180834667,0.220925662,0.219331488,0.184234011,0.221511091,0.210712191,0.202460869,0.19727405,0.232290961,0.192933716,0.189210992,0.21098422,0.217028083,0.197207257,0.218315048,0.179561868,0.203022188,0.193818269,0.220667422,0.17748326,0.193647155,0.207287781,0.197930646,0.197869829,0.237670289,0.193820864,0.195557477,0.177465172,0.198023743,0.203011499,0.193315048,0.188247343,0.184397882,0.199295832,0.228312685,0.23119785,0.171004817,0.1460396,0.19644524,0.189587993,0.209411098,0.192362272,0.272331159,0.191363732,0.211897047,0.225866744,0.190898632,0.209528212,0.178391394,0.209172803,0.194739899,0.193084531,0.226445463,0.223936204,0.185613806,0.21962101,0.171323341,0.214490633,0.181227029,0.209282695,0.208960948,0.179723685,0.18997755,0.189670171,0.194168441,0.180882525,0.187191564,0.19649524,0.177031828,0.191736652,0.180455429,0.181084401,0.214358267,0.161808782,0.207510096,0.247817198,0.179963472,0.164060436,0.196243454,0.177496664,0.178824911,0.199081332
Stroma_Tissue.csv_Mean.Circular.Mean.Layer.2..R1..User..3..R2..Same...R1...border.,0.285915151,0.223945974,0.2787732,0.308398501,0.321033812,0.340223289,0.319948989,0.344627983,0.285113077,0.260511864,0.197136218,0.210159442,0.211682212,0.312302359,0.213146531,0.239029009,0.339923653,0.269011287,0.264535279,0.309383461,0.266537796,0.326105301,0.305631099,0.211667233,0.233840375,0.184584057,0.37603058,0.257978268,0.309418715,0.275958609,0.276370244,0.250480037,0.193834643,0.24892473,0.293700892,0.235001397,0.304925981,0.317572505,0.225805828,0.124779293,0.340129341,0.189831555,0.282335005,0.37668951,0.281122363,0.219375995,0.168290422,0.25890272,0.389349727,0.306778042,0.282743633,0.25371722,0.231087601,0.289449047,0.25751101,0.275832052,0.234330271,0.267554685,0.252183389,0.243647631,0.287520915,0.264975073,0.303051176,0.232247474,0.297356713,0.229168145,0.184828576,0.254907892,0.286789179,0.240413641,0.342870674,0.331952343,0.156268778,0.190002769,0.219384628,0.304606242,0.262652611,0.178468325,0.324560282,0.299348707,0.270101189,0.258262143,0.245593363,0.306653264,0.201951776
Stroma_Matrix.csv_Min.GLCM.Ang..2nd.moment..quick.8.11...all.dir..,0.2008594,0.237055551,0.269067666,0.208844235,0.22574796,0.230669719,0.240737677,0.198553305,0.324651755,0.240375913,0.249497334,0.258208604,0.172239381,0.195637073,0.239702138,0.244599162,0.242890112,0.275169512,0.210912138,0.249415359,0.172752659,0.269570246,0.189697228,0.231166257,0.290124654,0.420815749,0.352222323,0.217405607,0.324350054,0.221112619,0.162367082,0.238296905,0.246756396,0.224374694,0.257665397,0.30893044,0.213860474,0.234442904,0.255705496,0.276433631,0.257763488,0.349044863,0.362323724,0.21964516,0.216094167,0.226982153,0.239484712,0.281585289,0.163899692,0.248757479,0.213433551,0.218321127,0.167229349,0.176290437,0.221593805,0.206277005,0.220028558,0.233070696,0.235421173,0.378466039,0.42936172,0.235883149,0.259481434,0.273813637,0.23990323,0.270003172,0.249333852,0.270277364,0.180447641,0.250337051,0.248947738,0.191272313,0.313091638,0.264514612,0.291640762,0.249896114,0.328751214,0.233667164,0.303619485,0.171885597,0.249524803,0.22592452,0.217432378,0.218616629,0.348606438
