"","GLCM.Ang..2nd.moment..quick.8.11..Layer.1..all.dir..","Ratio.Layer.3","HSI.Transformation.Hue.R.Layer.1.G.Layer.2.B.Layer.3.","GLCM.Correlation..quick.8.11..Layer.1..all.dir..","Asymmetry.of.sub.objects..mean..1.","Rel..Border.to.Image.Border","GLCM.Entropy..quick.8.11..Layer.1..all.dir..","Ratio.to.scene.Layer.1","Skewness.Layer.1","Rel..area.of.sub.objects.unclassified..1.","Rel..border.to.brighter.objects.Layer.2","Density.of.sub.objects..stddev..1.","Rel..area.of.sub.objects.Dark..1.","Skewness.Layer.3","Compactness..polygon.","Mean.Layer.3","StdDev..to.neighbor.pixels.Layer.2..3.","StdDev..to.neighbor.pixels.Layer.3..3.","Mean.of.outer.border.Layer.3","Direction.of.sub.objects..stddev..1.","Mean.of.sub.objects..stddev.Layer.1..1.","Min.10Per.Pixel.value.Layer.3","Mean.Diff..to.neighbors..abs..Layer.2..0.","Circular.Mean.Layer.1..R1..User..3..R2..Same...R1...border.","Area.of.sub.objects.Nucleus..1...Pxl.","Min.10Per.Pixel.value.Layer.1","Area.of.sub.objects..stddev..1...Pxl.","Contrast.to.neighbor.pixels.Layer.3..3.","Area..including.inner.polygons...Pxl.","Length..µm.","Width..µm.","Mean.Layer.1","Mean.Layer.2","Standard.deviation.Layer.1","Standard.deviation.Layer.2","Standard.deviation.Layer.3","Skewness.Layer.2","Ratio.Layer.1","Ratio.Layer.2","Min.10Per.Pixel.value.Layer.2","Max.90Per.Pixel.value.Layer.1","Max.90Per.Pixel.value.Layer.2","Max.90Per.Pixel.value.Layer.3","Nuclei_Density","Fibroblast_Nuclei_Density","Fraction_Fiber","Fraction_Nuclei","Mean_Distance_Fibroblast_Neigbour_Epi","Nuclei_Orientation","Nuclei_Perimeter","Nuclei_Solidity","Nuclei_Eccentricity","Nuclei_EquivDiameter","Nuclei_MajorAxisLength","Nuclei_MinorAxisLength","Nuclei_Area","Autocorrelation","Contrast","Correlation","Cluster Prominence","Cluster Shade","Dissimilarity","Energy","Entropy","Homogeneity","Maximum probability","Sum of sqaures","Sum average","Sum variance","Sum entropy","Difference variance","Difference entropy","Information measure of correlation1","Informaiton measure of correlation2","Inverse difference normalized (INN)","Inverse difference moment normalized"
"TCGA-A2-A0CM-01",0.985655185625,0.291661695225,0.006208976425,0.8686933363,7.220093493775,0.025835165075,0.490477336225,12.211986784625,0.9024960985,0.08410794775,0.9024960985,11.7023827407,0.0137781236,56.416931566725,70.920013698775,63.163988165075,128.8165644205,1359.15631911078,13.052178410225,70.6475,66.757332971425,67.82310516735,0.9024960985,57.172,2380.06393423375,171.5369903401,52644.9275,453.57,532.5225,60.4197288303,33.862897670175,69.523806664675,44.69854997545,61.775412322825,15.4200217172,0.92118716585,0,25.118,186.73175,124.4835,163.8975,0.0009789427,0.00088106965,0.31884751465,0.302668903225,37.79135850885,-6.652089480625,0.6761212388,0.003654260875,0.825738224475,20.573179095775,548.692921524825,264.150493263475,20.573179095775,410.01034834495,1.0158525171,0.0018976936,0.8686933363,0.8686933363,0.104856827275,0.001091124725,0.99369233365,0.025835165075,0.999576838675,0.999535036025,0.9968376788,0.985655185625,2.009011012875,3.96741069895,0.0245191796,0.0018976936,0.006568222625,-0.822257569575,0.183090573,0.99988743305,0.999972240825
"TCGA-A2-A0D0-01",0.98461958405,1.076699233975,0.0056356002,0.86633427145,12.2152086821,0.020222419225,0.4772911305,11.8833066135,0.38199727875,0.077821120425,0.38199727875,11.282323513125,0.01769188255,81.1276376988,89.8381292502,91.044056948275,138.715715694725,1287.83649501377,12.93340284845,102.5240151515,134.447911362525,129.0117517904,0.38199727875,73.848056884625,1045.02776690407,251.057330175,64833.7131392876,489.0758971292,446.830824029775,75.9137145974,64.5329114848,88.22636775345,81.21326054715,89.8009885922,13.089169232325,0.024536569375,0,47.90025917065,233.750556884625,229.366236044675,233.751213051575,0.0005975479,0.0005585072,0.248299233225,0.22197846365,35.948564573775,2.368453745725,0.573271982675,0.0029401823,0.8313433649,16.203219096625,512.529286414925,242.67473198695,16.203219096625,243.06445589005,1.014713328375,0.0020670434,0.86633427145,0.86633427145,0.123485648075,0.0010165512,0.995407334525,0.020222419225,0.999634418575,0.9995967508,0.9976997328,0.98461958405,2.007796338,3.98401143535,0.019245845225,0.0020670434,0.005762432825,-0.824048505875,0.164379649625,0.999897936375,0.999970537175
"TCGA-A2-A0D1-01",0.98252052365,0.3539592556,0.006220643625,0.857447411325,0.04883079235,0.0166405523,0.47222878775,11.546874552225,0.293920411,0.082696517025,0.293920411,11.46685430955,0.022060174125,71.930125094425,87.6070422672,81.935324761475,132.259751792925,1408.9673380327,15.71708454405,96.688964646475,114.5392191654,113.22231054725,0.293920411,90.044542929275,1325.69355430965,224.768603944475,105714.70959596,587.00444444445,550.7284090909,76.160106444,54.8326680864,86.9562377096,68.893898794325,80.758026315075,13.34320313155,0.7874030798,0,49.423510101025,223.067222222225,205.264419191925,218.8581060606,0.00044679505,0.000396902,0.32731270595,0.184605325525,35.70821187865,-6.1104412455,0.646031804525,0.002494461525,0.850495329425,15.797062036125,632.070640815325,274.18180842975,15.797062036125,243.1907712586,1.0126838138,0.0018896004,0.857447411325,0.857447411325,0.12083102865,0.00085915325,0.9963153409,0.0166405523,0.999703372675,0.99967227095,0.998154889475,0.98252052365,2.0065189922,3.989143532525,0.015883178325,0.0018896004,0.004703908375,-0.823410062325,0.146136375875,0.999915022175,0.999973486025
"TCGA-A2-A0D2-01",0.984262295825,0.026463874475,0.006473838375,0.864547790825,164.150585455675,0.0215410015,0.486527194075,11.830872100375,0.462534291625,0.0833004998,0.462534291625,11.527339105225,0.01776769215,59.874105555,80.07848470695,67.0639785212,130.27374826985,1446.69306463835,13.493758233075,77.381868686875,78.0233425519,77.94033782455,0.462534291625,68.16974747475,1453.64638950703,183.50027437785,70503.6903787879,504.484217171725,490.59204545455,69.605710645225,39.0031142322,78.937211645525,49.580499410625,65.480879104175,14.19540108695,1.21644639185,0,30.6338888889,205.38265151515,139.70585858585,172.821621212125,0.000641814675,0.00058594585,0.31818497025,0.2427407817,37.647424037225,-2.677479805025,0.608503645575,0.002965228775,0.8413855633,17.63422677965,553.588664023025,253.11888886845,17.63422677965,292.736452787825,1.014408664275,0.001963138475,0.864547790825,0.864547790825,0.112294997025,0.001013392725,0.9950153984,0.0215410015,0.99962580005,0.999588068025,0.997502860275,0.984262295825,2.007846780525,3.977852459925,0.02046320405,0.001963138475,0.00589312385,-0.823720924175,0.168244209575,0.999897324,0.999971823375
"TCGA-A2-A0EQ-01",0.985471564875,0,0.00634486485,0.857850530725,16.172545032075,0.023084459575,0.462974517425,11.9589418827,0.504455654575,0.082982588125,0.504455654575,11.991053393025,0.018586564025,60.7170385069,84.138370052775,73.87673184795,130.5499291739,1327.75698129183,14.959045504425,72.20975,91.1294809332,91.8991655905,0.504455654575,66.55925,1279.42524409428,192.180411856625,63773.2275,468.815,503.1725,68.302583167875,42.94330655785,82.21237448665,59.9627471419,71.968053343875,14.841877320925,1.195647097475,0,29.064,219.8175,180.8165,201.2225,0.00071071095,0.00064609625,0.297828789575,0.26061269575,37.872167163175,0.4362701986,0.525545830125,0.0029022142,0.846396246475,16.971380643625,554.4517284895,242.863341567375,16.971380643625,271.93703173965,1.015506507375,0.002206165225,0.857850530725,0.857850530725,0.123138940925,0.0011325395,0.994645497875,0.023084459575,0.99958117645,0.99954092855,0.99731706805,0.985471564875,2.0084257057,3.97672728045,0.021906428825,0.002206165225,0.006542929575,-0.8154200745,0.172533168275,0.999885324725,0.999968410425
"TCGA-A2-A0EV-01",0.98406478575,0.542186377,0.006194552125,0.86304791065,114.6954475997,0.0170592352,0.4708326235,11.3329832821,0.3089118808,0.0823954029,0.3089118808,11.025715442325,0.020855067675,68.9804887513,81.69080298825,76.400506520725,131.8879094755,1375.19985034962,14.41456547015,102.33975,101.371690672525,101.571162912425,0.3089118808,90.44775,921.48576566585,215.8163430421,80359.1025,490.73,518,71.85432674825,48.415244852075,80.414252135475,58.8523547537,75.3097995331,12.843091753325,0.61199875645,0,49.79225,205.47,165.04575,193.25,0.000599685625,0.000537775625,0.320354224675,0.187414717375,34.40816298465,-6.640256515525,0.5311524805,0.002631846825,0.851838507075,14.95174059,570.389693517025,246.526198220525,14.95174059,214.897407652925,1.014151920125,0.00205735415,0.86304791065,0.86304791065,0.145743097425,0.00093880405,0.99620889585,0.0170592352,0.999675629525,0.999640517675,0.99810163515,0.98406478575,2.0070772648,3.993723392475,0.016244140475,0.00205735415,0.005079926525,-0.81376696585,0.1476026317,0.9999070723,0.99997113935
"TCGA-A2-A0EX-01",0.98379565785,0.0058514275,0.0069645117,0.84999653315,395.05079001495,0.0155274836,0.4751160441,11.222603942775,0.222441605675,0.08541341715,0.222441605675,12.0413531795,0.02376561155,57.732072980425,88.57696536115,67.846549805275,131.111639469325,1386.0984052308,19.98985698485,72.45557247735,86.1177032772,84.9093008259,0.222441605675,96.1435225971,1112.9273618895,179.76843138795,86923.8295462355,589.7088232844,420.44419296055,79.329972883125,41.471468648075,88.2589933002,53.3406105892,66.16793399525,14.2410471577,1.344422621025,0,36.114630844525,216.819439550125,154.8221525565,182.22238878475,0.0004623355,0.00039645635,0.419652787325,0.159483837825,34.8746354643,-1.300497897025,0.517647627425,0.00231563375,0.88012897295,12.5368647172,577.18400938735,219.9437816149,12.5368647172,144.656953110025,1.01372599175,0.002357064975,0.84999653315,0.84999653315,0.17807807365,0.000941396325,0.996707902075,0.0155274836,0.9996906277,0.999660367925,0.998351837,0.98379565785,2.0064759576,3.9983701262,0.014727389825,0.002357064975,0.00490187635,-0.80090382475,0.138846586775,0.99990909325,0.9999683656
"TCGA-A2-A0EY-01",0.985118691075,0.1116188221,0.006536636075,0.864195086325,0.07515961645,0.0166191783,0.464434231625,11.2693981125,0.250719505325,0.084171015525,0.250719505325,11.319079263125,0.023740760475,69.200102117775,90.0547551739,79.64471447665,133.41150600075,1269.9211271612,17.525997201125,97.918142247225,108.0996608291,107.619543029625,0.250719505325,97.46428824325,1290.36950537222,218.772706762225,95715.1088363012,545.681640893475,518.7875137978,78.330476878575,51.262810139575,89.041149416925,64.55678272015,78.07501977115,13.1827157121,1.076739681975,0,49.321154066425,223.742886077275,189.3542015516,208.951229043025,0.000422626075,0.000368487975,0.34293088165,0.174505182525,35.91950512095,6.337199821275,0.4824617224,0.0024474494,0.85259255865,13.992229330075,586.79476392425,250.123115532125,13.992229330075,185.187434381625,1.015111779925,0.0022522543,0.864195086325,0.864195086325,0.172729820225,0.0009473321,0.9964080031,0.0166191783,0.999684662625,0.999652573625,0.998201526,0.985118691075,2.007259206975,3.999285810425,0.015858382525,0.0022522543,0.00496609775,-0.814626591275,0.14608606765,0.999907717425,0.99996901785
"TCGA-A2-A0SW-01",0.979864074925,0.06749642925,0.006251031025,0.836252284575,0.9242418754,0.018797319625,0.443497739725,11.999100347875,0.3970189833,0.085614682125,0.3970189833,12.04134282095,0.018802677775,59.986910783025,86.13623383525,76.446410648875,130.10797483605,1096.4818943554,15.8745875447,68.557976804125,101.1344065973,98.1686435923,0.3970189833,58.635586769775,1290.59180634757,195.5672682709,56957.510588488,460.129546821325,451.61784686425,66.670203758925,44.8543606572,83.168974717025,62.3544042438,73.379615960975,14.222601997225,1.109822486225,0,28.822406572175,220.64905927835,186.82157409795,205.4315773196,0.00064088385,0.000561384775,0.277025702725,0.22600347265,37.710326722175,21.355635189225,0.646889037525,0.002809943375,0.8563661517,14.956707727125,523.849230460425,222.78004282865,14.956707727125,205.617589100225,1.010161345925,0.001600299475,0.836252284575,0.836252284575,0.069126265325,0.00090929795,0.995728617375,0.018797319625,0.999645847275,0.99961429915,0.997860751225,0.979864074925,2.00585440775,3.97128337045,0.017770689775,0.001600299475,0.0056748627,-0.787720828575,0.1519829416,0.999906286,0.999976738475
"TCGA-A2-A0SX-01",0.981784438025,0.60368423945,0.00599094615,0.835656571475,179.1001904528,0.0233802789,0.48825368105,12.5263852308,0.720363827825,0.08355143405,0.720363827825,12.090908210475,0.01557492665,64.695592117975,79.2407175694,74.588203416625,130.0457049743,1494.4917006907,13.620262936825,67.9125,92.631351038975,91.883205386625,0.720363827825,52.4575,1657.32821031852,197.25822886385,54460.6825,503.11,437.0475,65.9009915979,46.372226360475,78.41841633435,61.775698810025,73.932586883775,14.64362293315,0.54846833665,0,27.41625,211.31475,181.7525,203.7245,0.0009393879,0.00083238255,0.252817428325,0.286194474275,37.063593263375,1.440174087525,0.717305045125,0.003602154825,0.8398076633,18.58254709885,539.616132874125,251.4391038556,18.58254709885,342.383568390775,1.01205429745,0.001696983325,0.835656571475,0.835656571475,0.068794763575,0.001051679175,0.994345230775,0.0233802789,0.999575826275,0.999538686625,0.997165527275,0.981784438025,2.007211790175,3.961745218775,0.02209182375,0.001696983325,0.006629460575,-0.787691098925,0.167529262625,0.99989017405,0.999974934225
